1460688790.16	-	10.101.2.8	56975	31.222.72.33	443	-	GET	badoo.com	/	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,Upgrade-Insecure-Requests,User-Agent,Accept-Encoding,Accept-Language,Cookie	badoo.com,keep-alive,text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8,1,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf	Server,Content-Type,Transfer-Encoding,Connection,Expires,Date,Pragma,Cache-control,X-XSS-Protection,X-Frame-Options,P3P,Set-Cookie,Content-Security-Policy,Location	nginx,text/html; charset=utf-8,chunked,keep-alive,Mon, 26 Jul 1997 05:00:00 GMT,Fri, 15 Apr 2016 02:52:58 GMT,no-cache,private,1; mode=block,DENY,policyref="https://badoo.com/w3c/p3p.xml", CP="NOI DSP COR NID ADM DEV PSA OUR IND UNI PUR COM NAV INT STA",s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; path=/; domain=.badoo.com; HttpOnly, has_secure_session=1; expires=Thu, 01-Jan-1970 00:00:01 GMT; Max-Age=-1460688777; path=/; domain=.badoo.com, lvnp=0; expires=Thu, 14-Apr-2016 02:52:58 GMT; Max-Age=-86400; path=/; domain=.badoo.com, device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; expires=Sun, 22-Mar-2116 02:52:58 GMT; Max-Age=3153600000; path=/; domain=.badoo.com,default-src 'self' *.badoo.com *.eu1.badoo.com *.us1.badoo.com badoocdn.com *.badoocdn.com   *.api.here.com; script-src 'self' 'unsafe-inline' 'unsafe-eval' badoocdn.com *.badoocdn.com *.googleapis.com maps.gstatic.com *.google.com vk.com *.vk.me cdn.syndication.twitter.com *.facebook.net *.facebook.com www.paypalobjects.com *.youtube.com *.ytimg.com api.ok.ru ssl.google-analytics.com *.api.here.com *.instagram.com; style-src 'self' 'unsafe-inline' badoocdn.com *.badoocdn.com vk.com *.vk.me *.googleapis.com; font-src 'self' badoocdn.com *.badoocdn.com fonts.googleapis.com fonts.gstatic.com; img-src * data: blob:; media-src * data: blob:; frame-src *; report-uri /jss/csp_report.phtml,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true
1460688791.0	-	10.101.2.8	58879	31.222.76.64	443	-	GET	m.badoo.com	/en/landing?c=badoo.webredirect&promo=true	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,Upgrade-Insecure-Requests,User-Agent,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8,1,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0	Server,Date,Content-Type,Last-Modified,Transfer-Encoding,Connection,ETag,Set-Cookie,Content-Encoding	nginx,Fri, 15 Apr 2016 02:52:59 GMT,text/html,Thu, 14 Apr 2016 14:27:13 GMT,chunked,keep-alive,W/"570fa8c1-5213",lang=en; path=/; domain=.badoo.com;,gzip
1460688791.21	-	10.101.2.8	58879	31.222.76.64	443	-	GET	m.badoo.com	/css/main.css?v=1460643922306	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,User-Agent,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,text/css,*/*;q=0.1,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en	Server,Date,Content-Type,Last-Modified,Transfer-Encoding,Connection,ETag,Expires,Cache-Control,Strict-Transport-Security,Content-Encoding	nginx,Fri, 15 Apr 2016 02:52:59 GMT,text/css,Thu, 14 Apr 2016 14:27:13 GMT,chunked,keep-alive,W/"570fa8c1-6ef44",Thu, 22 Sep 2016 02:52:59 GMT,max-age=13824000,max-age=31536000; includeSubDomains; preload,gzip
1460688791.49	-	10.101.2.8	58879	31.222.76.64	443	-	GET	m.badoo.com	/js/libs-c81ca161901a7c688181f1847527d8ca.js	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,User-Agent,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,*/*,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en	Server,Date,Content-Type,Last-Modified,Transfer-Encoding,Connection,ETag,Expires,Cache-Control,Strict-Transport-Security,Content-Encoding	nginx,Fri, 15 Apr 2016 02:52:59 GMT,application/x-javascript,Thu, 14 Apr 2016 14:27:13 GMT,chunked,keep-alive,W/"570fa8c1-173e6",Thu, 22 Sep 2016 02:52:59 GMT,max-age=13824000,max-age=31536000; includeSubDomains; preload,gzip
1460688791.74	-	10.101.2.8	58879	31.222.76.64	443	-	GET	m.badoo.com	/svg/assets.svg?v=1460643922306	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,User-Agent,Accept,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,*/*,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en	Server,Date,Content-Type,Last-Modified,Transfer-Encoding,Connection,ETag,Expires,Cache-Control,Strict-Transport-Security,Content-Encoding	nginx,Fri, 15 Apr 2016 02:52:59 GMT,image/svg+xml,Thu, 14 Apr 2016 14:27:14 GMT,chunked,keep-alive,W/"570fa8c2-2bb03",Thu, 22 Sep 2016 02:52:59 GMT,max-age=13824000,max-age=31536000; includeSubDomains; preload,gzip
1460688792.17	-	10.101.2.8	58880	31.222.76.64	443	-	GET	m.badoo.com	/js/main-en.js?v=1460643922306	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,User-Agent,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,*/*,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en	Server,Date,Content-Type,Last-Modified,Transfer-Encoding,Connection,ETag,Expires,Cache-Control,Strict-Transport-Security,Content-Encoding	nginx,Fri, 15 Apr 2016 02:53:00 GMT,application/x-javascript,Thu, 14 Apr 2016 14:27:13 GMT,chunked,keep-alive,W/"570fa8c1-13a849",Thu, 22 Sep 2016 02:53:00 GMT,max-age=13824000,max-age=31536000; includeSubDomains; preload,gzip
1460688793.49	-	10.101.2.8	58879	31.222.76.64	443	-	GET	m.badoo.com	/version.json?v=1460643922306&n=1460688780762&__ua=1	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,X-Requested-With,User-Agent,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,application/json,XMLHttpRequest,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en	Server,Date,Content-Type,Transfer-Encoding,Connection,X-UA-BROWSER,X-UA-OS,X-UA-DEVICE,Strict-Transport-Security,Content-Encoding	nginx,Fri, 15 Apr 2016 02:53:01 GMT,text/html; charset=utf-8,chunked,keep-alive,Chrome Mobile,49,0,2623,Android,5,1,1,D6653,max-age=31536000; includeSubDomains; preload,gzip
1460688793.47	-	10.101.2.8	58880	31.222.76.64	443	-	GET	m.badoo.com	/version.json?v=1460643922306&n=1460688780731&__ua=1	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,X-Requested-With,User-Agent,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,application/json,XMLHttpRequest,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en	Server,Date,Content-Type,Transfer-Encoding,Connection,X-UA-BROWSER,X-UA-OS,X-UA-DEVICE,Strict-Transport-Security,Content-Encoding	nginx,Fri, 15 Apr 2016 02:53:01 GMT,text/html; charset=utf-8,chunked,keep-alive,Chrome Mobile,49,0,2623,Android,5,1,1,D6653,max-age=31536000; includeSubDomains; preload,gzip
1460688794.22	-	10.101.2.8	58880	31.222.76.64	443	-	GET	m.badoo.com	/ga.html	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,Accept,Upgrade-Insecure-Requests,User-Agent,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8,1,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en; udid=514a7020-c68d-0b10-6e3f-39b8bc335e80	Server,Date,Content-Type,Last-Modified,Transfer-Encoding,Connection,ETag,X-Frame-Options,Content-Encoding	nginx,Fri, 15 Apr 2016 02:53:02 GMT,text/html,Thu, 14 Apr 2016 14:27:13 GMT,chunked,keep-alive,W/"570fa8c1-31a",ALLOW-FROM https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip
1460688794.28	-	10.101.2.8	58879	31.222.76.64	443	-	GET	m.badoo.com	/img/no-sprite/store-icon-badoo.png	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,User-Agent,Accept,Referer,Accept-Encoding,Accept-Language,Cookie	m.badoo.com,keep-alive,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,*/*,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8,s2=5NZuboBMEUiNc8_wlWKv8Q3xVP3s8UJKf; device_id=cd3c23d9-23d9-d9bd-bd11-114657a33ff0; lang=en; udid=514a7020-c68d-0b10-6e3f-39b8bc335e80	Server,Date,Content-Type,Content-Length,Last-Modified,Connection,ETag,Expires,Cache-Control,Strict-Transport-Security,Accept-Ranges	nginx,Fri, 15 Apr 2016 02:53:02 GMT,image/png,10980,Thu, 14 Apr 2016 14:27:14 GMT,keep-alive,"570fa8c2-2ae4",Thu, 22 Sep 2016 02:53:02 GMT,max-age=13824000,max-age=31536000; includeSubDomains; preload,bytes
1460688794.68	-	10.101.2.8	58883	31.222.76.64	443	-	GET	m.badoo.com	/manifest.json	-	Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-	0	-	-	-		host,Connection,User-Agent,Accept,Referer,Accept-Encoding,Accept-Language	m.badoo.com,keep-alive,Mozilla/5.0 (Linux; Android 5.1.1; D6653 Build/23.4.A.1.232) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36,*/*,https://m.badoo.com/en/landing?c=badoo.webredirect&promo=true,gzip, deflate, sdch,en-US,en;q=0.8	Server,Date,Content-Type,Last-Modified,Transfer-Encoding,Connection,ETag,Strict-Transport-Security,Content-Encoding	nginx,Fri, 15 Apr 2016 02:53:02 GMT,text/javascript,Thu, 14 Apr 2016 14:27:13 GMT,chunked,keep-alive,W/"570fa8c1-61",max-age=31536000; includeSubDomains; preload,gzip
